Year,Month,Month_Number,Product,Region,Sales_Amount,Cost_Amount,Profit
2022,January,1,Laptop,North,93810,12296,81514
2022,January,1,Laptop,South,13278,53598,-40320
2022,January,1,Laptop,East,46048,21049,24999
2022,January,1,Laptop,West,39256,14144,25112
2022,January,1,Mobile,North,23434,49348,-25914
2022,January,1,Mobile,South,81482,10697,70785
2022,January,1,Mobile,East,87397,32651,54746
2022,January,1,Mobile,West,14165,6952,7213
2022,January,1,Tablet,North,22280,19328,2952
2022,January,1,Tablet,South,40495,38118,2377
2022,January,1,Tablet,East,88907,6739,82168
2022,January,1,Tablet,West,83563,18031,65532
2022,January,1,Headphones,North,95181,50962,44219
2022,January,1,Headphones,South,81426,32493,48933
2022,January,1,Headphones,East,38893,34439,4454
2022,January,1,Headphones,West,87236,23231,64005
2022,January,1,Smartwatch,North,10851,54729,-43878
2022,January,1,Smartwatch,South,30926,50753,-19827
2022,January,1,Smartwatch,East,65392,27298,38094
2022,January,1,Smartwatch,West,46421,15189,31232
2022,February,2,Laptop,North,38221,67731,-29510
2022,February,2,Laptop,South,54118,11698,42420
2022,February,2,Laptop,East,22156,29898,-7742
2022,February,2,Laptop,West,22676,28526,-5850
2022,February,2,Mobile,North,55082,44565,10517
2022,February,2,Mobile,South,44671,57895,-13224
2022,February,2,Mobile,East,15695,52823,-37128
2022,February,2,Mobile,West,70217,40142,30075
2022,February,2,Tablet,North,26361,68774,-42413
2022,February,2,Tablet,South,59615,10164,49451
2022,February,2,Tablet,East,82357,24213,58144
2022,February,2,Tablet,West,92397,45535,46862
2022,February,2,Headphones,North,57400,42837,14563
2022,February,2,Headphones,South,35203,51174,-15971
2022,February,2,Headphones,East,19116,8003,11113
2022,February,2,Headphones,West,96673,19935,76738
2022,February,2,Smartwatch,North,47930,69567,-21637
2022,February,2,Smartwatch,South,20458,61054,-40596
2022,February,2,Smartwatch,East,40512,61785,-21273
2022,February,2,Smartwatch,West,23238,29911,-6673
2022,March,3,Laptop,North,46434,34714,11720
2022,March,3,Laptop,South,93320,59664,33656
2022,March,3,Laptop,East,57819,15659,42160
2022,March,3,Laptop,West,58520,28283,30237
2022,March,3,Mobile,North,37460,48920,-11460
2022,March,3,Mobile,South,44993,50994,-6001
2022,March,3,Mobile,East,99593,47469,52124
2022,March,3,Mobile,West,19358,44920,-25562
2022,March,3,Tablet,North,93227,16215,77012
2022,March,3,Tablet,South,80010,52784,27226
2022,March,3,Tablet,East,42087,15708,26379
2022,March,3,Tablet,West,70589,29867,40722
2022,March,3,Headphones,North,45382,69849,-24467
2022,March,3,Headphones,South,93886,50099,43787
2022,March,3,Headphones,East,83000,19392,63608
2022,March,3,Headphones,West,99733,26252,73481
2022,March,3,Smartwatch,North,17331,20010,-2679
2022,March,3,Smartwatch,South,14207,57759,-43552
2022,March,3,Smartwatch,East,51347,31290,20057
2022,March,3,Smartwatch,West,45093,9337,35756
2022,April,4,Laptop,North,37653,64843,-27190
2022,April,4,Laptop,South,84341,62433,21908
2022,April,4,Laptop,East,51245,18934,32311
2022,April,4,Laptop,West,95909,37717,58192
2022,April,4,Mobile,North,61856,62978,-1122
2022,April,4,Mobile,South,94259,35071,59188
2022,April,4,Mobile,East,28726,22359,6367
2022,April,4,Mobile,West,28301,21162,7139
2022,April,4,Tablet,North,83579,40322,43257
2022,April,4,Tablet,South,44438,53956,-9518
2022,April,4,Tablet,East,86622,33077,53545
2022,April,4,Tablet,West,86484,31175,55309
2022,April,4,Headphones,North,57447,19373,38074
2022,April,4,Headphones,South,28131,38392,-10261
2022,April,4,Headphones,East,74686,10957,63729
2022,April,4,Headphones,West,16175,61433,-45258
2022,April,4,Smartwatch,North,24371,15016,9355
2022,April,4,Smartwatch,South,92240,15484,76756
